kind,identifier,name,source,license,url,description,chromosome
Anatomy,UBERON:0002297,cerumen,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002297,,
Anatomy,UBERON:0001031,sheath of Schwann,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001031,,
Anatomy,UBERON:0002030,nipple,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002030,,
Anatomy,UBERON:0001827,secretion of lacrimal gland,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001827,,
Anatomy,UBERON:0001090,synovial fluid,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001090,,
Anatomy,UBERON:0001762,turbinate bone,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001762,,
Anatomy,UBERON:0003889,fallopian tube,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0003889,,
Anatomy,UBERON:0001067,vertebral arch joint,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001067,,
Anatomy,UBERON:0001769,iris,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001769,,
Anatomy,UBERON:0001488,ankle joint,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001488,,
Anatomy,UBERON:0001785,cranial nerve,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001785,,
Anatomy,UBERON:0001905,pineal body,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001905,,
Anatomy,UBERON:0002741,diagonal band of Broca,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002741,,
Anatomy,UBERON:0001017,central nervous system,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001017,,
Anatomy,UBERON:0001681,nasal bone,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001681,,
Anatomy,UBERON:0001891,midbrain,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001891,,
Anatomy,UBERON:0002223,endolymphatic sac,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002223,,
Anatomy,UBERON:0001840,semicircular canal,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001840,,
Anatomy,UBERON:0001638,vein,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001638,,
Anatomy,UBERON:0001970,bile,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001970,,
Anatomy,UBERON:0000045,ganglion,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000045,,
Anatomy,UBERON:0002518,otolith organ,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002518,,
Anatomy,UBERON:0000949,endocrine system,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000949,,
